,Trading Session,Strategy Equity Portfolio
120,120,1.0279844737769643
121,121,1.0179516446127541
122,122,1.0362610037129392
123,123,1.0200235480336957
124,124,1.0283828712651069
125,125,1.0566000601898495
126,126,1.0452590484183626
127,127,1.0393610361112966
128,128,1.0418022426107272
129,129,1.0367091139367608
130,130,1.0186133350349975
131,131,1.0206258056396167
132,132,1.0087919515743287
133,133,1.0156881035702037
134,134,1.0056529525494045
135,135,1.0255167640055798
136,136,1.0170602513476394
137,137,1.0143021898144218
138,138,1.0253734475398746
139,139,1.011410495176453
140,140,1.0153372557904587
141,141,1.0324341681898654
142,142,1.0137090560753226
143,143,1.0171237825858708
144,144,1.0214684615484353
145,145,1.0322294428916854
146,146,1.018097738816783
147,147,1.0031392983406175
148,148,1.0105788195257044
149,149,1.0153454739319074
150,150,1.0195681483438408
151,151,1.02498238057982
152,152,1.0177999640948476
153,153,1.0218100806615305
154,154,1.026581739889848
155,155,1.01896524620757
156,156,1.042953965229143
157,157,1.0500866602943053
158,158,1.0362856849193183
159,159,1.0456449860407742
160,160,1.0346205005909501
161,161,1.0455853629824363
162,162,1.0613277877565914
163,163,1.052099280270601
164,164,1.0654750962427038
165,165,1.071981219323992
166,166,1.0837919466365566
167,167,1.1097102418926919
168,168,1.10772195542871
169,169,1.0989799318810132
170,170,1.0885162883863462
171,171,1.0791150096184778
172,172,1.0793607457927992
173,173,1.0850238972286885
174,174,1.089877458895242
175,175,1.101952363407147
176,176,1.103394778622624
177,177,1.1239127902068005
178,178,1.1216391805056352
179,179,1.1595449436444194
180,180,1.1695877030127146
181,181,1.1589059169217197
182,182,1.1453493027874226
183,183,1.1533010158437975
184,184,1.1515380651322809
185,185,1.1627321051007746
186,186,1.1706756491160901
187,187,1.1710022601974979
188,188,1.1604531879639233
189,189,1.140696210075946
190,190,1.1358993100970367
191,191,1.1488823281358018
192,192,1.1531585434579676
193,193,1.137249654985023
194,194,1.140924235673658
195,195,1.147515068801008
196,196,1.136667208803464
197,197,1.14007453003333
198,198,1.1421853155849484
199,199,1.1278363807350509
200,200,1.1339790163182577
201,201,1.142917441403594
202,202,1.1590892152043732
203,203,1.1750829833524779
204,204,1.1570112742720269
205,205,1.1453243498222425
206,206,1.1537234299669905
207,207,1.1621668072363691
208,208,1.1706895724456459
209,209,1.2261635389735233
210,210,1.2359772942591747
211,211,1.2542447028431822
212,212,1.2700493923959029
213,213,1.2814412726718543
214,214,1.278070710088966
215,215,1.2911844456794914
216,216,1.2806987859065875
217,217,1.2785358359200059
218,218,1.272563255533947
219,219,1.2752807256459402
220,220,1.3121731220616026
221,221,1.2842838773711593
222,222,1.2963408151858566
223,223,1.2727478662701788
224,224,1.2670074656685477
225,225,1.2850247524616707
226,226,1.2874975266707074
227,227,1.2723308100224364
228,228,1.2628764965084442
229,229,1.2746314943967587
230,230,1.2649296890740716
231,231,1.2696737366379667
232,232,1.2718319314690179
233,233,1.263353564607763
234,234,1.2973128491275736
235,235,1.3086772693102697
236,236,1.2783829996357328
237,237,1.2827172196252201
238,238,1.2740094976695453
239,239,1.288510452932416
240,240,1.277741973891927
241,241,1.2774558916959158
242,242,1.286669910167671
243,243,1.3015206580532404
244,244,1.2842747072393679
245,245,1.280600301982522
246,246,1.2747781767686346
247,247,1.2662537221217687
248,248,1.294539793496024
249,249,1.3023235002804798
250,250,1.284120056272571
251,251,1.2997443096543444
